Title,Skills,budget,experience_level,rate_type,duration,description
Data Vis,"['JavaScript', 'PHP', 'React', 'Vue.js', 'Angular', 'NodeJS Framework', 'Svelte', 'Data Visualization', 'D3.js', 'Chart.js', 'Node.js', 'Mapbox', 'R', 'QGIS', 'ArcGIS']",-,Intermediate,Hourly,Less than 30 hrs/week,The main purpose of the project is UK house price data analysis. 
Fabric inspection using deep learning,"['Natural Language Processing', 'Deep Learning', 'TensorFlow', 'Python', 'Machine Learning', 'Golang', 'MongoDB', 'Node.js', 'Django']",-,Intermediate,Hourly,Less than 30 hrs/week,"A Practice of Fabric Defect Detection by Using CNN
I want a similar application to the file I am attaching , I am attaching a github link of already existing project in github with the exact database that is needed ""sir do you have something regarding this “https://github.com/sadanalog/defect-detection-using-cnn”"
Statistical assistance and write up needed for MMED,"['R', 'Stata', 'SQL', 'SAS', 'IBM SPSS', 'Biostatistics', 'Data Management', 'SQL Programming', 'Research Papers', 'Science & Medicine', 'RStudio', 'Clinical Trial']",-,Intermediate,Hourly,Less than 30 hrs/week," I am a final year anaesthetic registrar at a South African University. I am in need of a statistician on an urgent basis to help me analyse my data and produce an output for my Masters in Medicine research project. 

Would you possibly have capacity to help me process my data in the next few days?

The project encompasses 100 data sets and also requires analysis of data utilising the IPAQ physical activity questionnaire. 
"
GPT Expert,['Machine Learning'],"
        $1,000
      ",Expert,Fixed-price,-,"Development and Deployment of Dish Recipe Application
Objective: Develop and deploy an application for dish recognition and recipe generation using cost-effective strategies and tools.
Responsibilities:
Model Training:
Utilize pre-trained object detection models available through open-source frameworks like TensorFlow or PyTorch for dish recognition.
Fine-tune the pre-trained model on a smaller custom dataset obtained from publicly available datasets or free sources.
Optimize model training parameters to minimize resource consumption and training time.
API Development and Deployment:
Develop the API service for dish recognition and recipe generation using lightweight frameworks like Flask.
Containerize the application using Docker to ensure portability and efficient resource utilization.
Explore serverless deployment options such as AWS Lambda or Google Cloud Functions to minimize infrastructure costs.
Leverage cloud platform free tiers for hosting and limited usage of compute, storage, and networking resources.
Implement cost-saving measures such as auto-scaling based on demand to optimize resource usage and minimize expenses.
Deliverables:
Dish recognition and recipe generation application developed using cost-effective strategies and tools.
Containerized application ready for deployment on serverless platforms or cloud infrastructure free tiers.
API documentation detailing endpoints, usage instructions, and cost-saving measures implemented.
Cost breakdown analysis highlighting savings achieved through cost-effective development and deployment practices.
Timeline:
Model Training and API Development: 4 weeks
Deployment and Testing: 2 weeks
Documentation and Handover: 1 week
Skills Required:
Proficiency in open-source machine learning frameworks like TensorFlow or PyTorch for model training.
Experience with lightweight web frameworks like Flask for API development.
Knowledge of containerization tools like Docker for packaging and deploying applications.
Familiarity with serverless deployment options such as AWS Lambda or Google Cloud Functions.
Understanding of cloud platform free tiers and cost-saving measures for optimizing resource usage.
Ability to analyze cost-saving opportunities and implement efficient development and deployment practices."
Scraping Expert to Collect Celebrities' Data,"['Web Scraping', 'Web Crawling', 'Screen Scraping', 'Python', 'Data Scraping', 'Data Extraction']",-,Entry level,Hourly: $5-$15,30+ hrs/week,I'm looking for a scraping expert to collect training datasets for my AI project. The deliverable will include photos and metadata. The metadata can be stored in CSV or Excel. Please let me know if you have any similar experience. Thank you.
"Looking for Experienced Data Analytics  - SQL, Python, Azure & More for long term contract","['Database Development', 'JavaScript', 'Microsoft SQL Server', 'jQuery', 'Python', 'Database Design', 'Database Architecture', 'Data Analytics', 'Data Modeling', 'ETL']",-,Intermediate,Hourly,30+ hrs/week,"Looking for Experienced Data Analytics and Security Developer - SQL, Python, Azure that will require strong analytical, writing, and a solid grasp of security domains and concepts.

This contract is full time (40 hours a week) contract that will last at a minimum of 4 months up to 2 years. The extension will be negotiated every 4 months.

The candidate must be fluent in English (written/spoken) to communicate with the existing team.

Looking for people with experience in:

Data Analytics,
Data modeling risk management,
Metrics reporting

Familiarity with databases (e.g., SQL),
Programming languages (e.g., Python, JavaScript),
and ETL frameworks.

Knowledge of Azure Security Center, Wiz, Microsoft Cloud App Security,"
How to increase the historical accuracy of GPT-4? Consultation.,"['Natural Language Generation', 'Machine Learning']","
        $200
      ",Expert,Fixed-price,-,"We are using GPT-4 to bring historical figures back to life at https://www.hellohistory.ai/ and www.humy.ai/

We want to increase the historical accuracy of the replies.

We are looking for an advisor with a background in NLP or experience in building similar products.

We can start with 1 consultation and extend the contract if we work well together. 


"
Tesseract LSTM module,['Tesseract LSTM module'],-,Expert,Hourly,Less than 30 hrs/week,"Looking for an expert in training Tesseract LSTM module ! If you have experience in fine-tuning Tesseract for improved OCR accuracy using LSTM (Long Short-Term Memory) networks, this gig is for you.  Help optimize Tesseract's performance for our specific use case and enhance its ability to recognize text accurately. Share your expertise and let's collaborate to unlock the full potential of Tesseract!"
Parse data from index graphs,"['Receipt Parsing', 'Python', 'Data Scraping']",-,Entry level,Hourly: $30-$50,Less than 30 hrs/week,"Parse data from index graphs
https://www.chrono24.com/chronopulse.htm
https://www.rarewhisky101.com/indices/market-performance-indices/rare_whisky_100_index
the data is needed in the form of a csv file"
Python Audio Processing - auto trimming of lectures prefix/suffix,"['Python', 'Machine Learning', 'Digital Signal Processing', 'Natural Language Processing']",-,Intermediate,Hourly: $20-$30,Less than 30 hrs/week,"I have hundreds of recorded lectures (audio, in Hebrew) ordered in subfolders under some root folder in my google drive. all of the same lecturer.
I want to ""clean"" those lectures from the following:
At the beginning of each lecture there are sounds (mostly of moving chairs, opening and closing doors, etc.) and the same at the end.
I want to cut off all of those sounds and that the lecture will start from when the lecturer is starting to talk.
I want you to write some python code to make it happen. I can run it from a payed colab account so I can have access to GPU if required."
Fine Tuning Arabic Language Model,"['Python', 'AI Model Training', 'AI Model Integration', 'Generative AI Prompt Engineering', 'Generative AI', 'Model Monitoring', 'Model Testing & Optimization', 'Model Tuning', 'BERT', 'Arabic']",-,Expert,Hourly,Less than 30 hrs/week,Fine Tune Bert Classical Arabic Model (https://huggingface.co/CAMeL-Lab/bert-base-arabic-camelbert-ca) with context integration
AI Engineer ,"['PyTorch', 'Python', 'Natural Language Processing', 'Artificial Intelligence', 'Machine Learning', 'TensorFlow', 'Neural Network', 'Generative AI', 'musci AI']",-,Intermediate,Hourly,Less than 30 hrs/week,"Hi Team,

we are looking for expert AI engineer , who  have worked on generative AI , Tensor flow  and worked on tool similar to https://www.landr.com/pricing/. 

Ai music generation model  by utilizing our fully owned original music content. To train  audio generator, we will provide AI dataset consisting of thousands of audio files containing music, sound effects, and single-instrument stems, as well as corresponding text metadata. The generator would then be able to output completely unique and original audio tracks based on a series of text and/or audio prompts.   

Only apply if you have similar experience and worked in music or film industry AI Tools "
stock/option trading bot using AI,"['Forex Trading', 'MetaTrader 4', 'Financial Modeling', 'MySQL', 'Python', 'Financial Projection', 'Financial Analysis']",-,Expert,Hourly: $40-$99,Less than 30 hrs/week,"
I am seeking assistance in leveraging AI to develop a robust trading strategy for both stocks and options. The aim is to devise a winning approach that can be automated through coding, thereby creating a bot capable of executing trades automatically. I am relying on your extensive experience and expertise in this domain to craft an automated system that can effectively navigate the complexities of the financial markets. If you possess a proven track record and have successfully completed analogous projects in the past, I encourage you to reach out and collaborate.


"
Machine learning for object detection and distance measurement with the Jetson Nano and RealSense.,"['Python', 'Deep Learning', 'AWS IoT Core', 'Terraform', 'GitHub']","
        $1,000
      ",Intermediate,Fixed-price,-,"This is a machine learning project. 

The integrated NVIDIA DeepStream with AWS IoT Greengrass V2 and Sagemaker aims to deploy models onto Nvidia Jetson Nano and utilize an Intel RealSense camera connected to the Jetson Nano for object detection and distance measurement.

Devices
Nvidia Jetson Nano
Intel RealSense D435if"
Data Cleaning Specialist for Large Web-Scraped Dataset,"['Data Entry', 'Data Extraction', 'Data Mining', 'Python', 'Spreadsheet Software', 'ETL', 'Data Scraping', 'Data Analysis', 'Data Science', 'Scrapy']",-,Expert,Hourly: $15-$35,30+ hrs/week,"
We are seeking a highly skilled and efficient Data Cleaning Specialist to process a large dataset containing over 300,000 - 800,000 records. Our project involves a dataset of the top non-profit organizations and waste management partners in the U.S., which we've compiled through web scraping. The dataset is comprehensive but requires cleaning and enrichment to meet our standards and objectives.

Primary Responsibilities:

Data Cleaning: Review and clean the dataset to ensure accuracy, consistency, and completeness. This includes removing duplicates, correcting errors, and standardizing data formats.

Data Enrichment: Fill in missing information, specifically email addresses and phone numbers for each non-profit organization. 

Additionally, verify and update the operational status (open/closed) of these organizations.

Automation and Efficiency: Utilize coding, artificial intelligence (AI), and other tools to automate the data cleaning and enrichment processes.

 Our goal is to minimize manual intervention, leveraging technology to handle the bulk of the work efficiently.

Reporting and Validation: Provide periodic progress reports, including details of the cleaning and enrichment processes, 
challenges faced, and solutions implemented. Ensure the final dataset is validated and meets the project requirements.

Skills and Qualifications:

Proven experience in data cleaning and enrichment, particularly with large datasets.

Proficiency in programming languages and tools commonly used for data processing (e.g., Python, R, SQL).

Familiarity with AI and machine learning techniques for data enrichment and validation.

Strong problem-solving skills and the ability to develop creative solutions for data-related challenges.

Excellent communication skills, with the ability to clearly document and explain processes and decisions.

Project Deliverables:

A cleaned and enriched dataset of 300,000+ U.S. non-profit organizations, including email addresses, phone numbers, and operational status.
Documentation of the methodologies used for data cleaning, enrichment, and automation.
Recommendations for maintaining data quality and integrity moving forward.
This project requires a delicate balance between technical expertise and creative problem-solving. If you have a passion for data and a track record of handling similar challenges, we would love to hear from you. Please include examples of previous data cleaning and enrichment projects in your proposal, particularly those involving large datasets.

"
Data Analytics about visualization,"['Data Analysis', 'Data Visualization', 'Microsoft Excel', 'Python', 'R', 'Google Analytics']","
        $5
      ",Entry level,Fixed-price,-,"Need someone to do data analysis about visualization:

I will prove detail more, but you will work and mainly draw such as this detail. Need to work correctly. 

Detail:
4. Draw by hand a visualization that gets that story across. Don't use Excel or other software to do the drawing, although you could use it to calculate things like averages if you want to graph an average. Also don't make a graph in software and then trace it by hand. Draw the thing by hand! This will ideally be on a piece of paper, but if you, for example, really want color but don't have colored drawing tools, you can draw it on a computer using a freehand drawing tool like Microsoft Paint or draw.io (Links to an external site.). The data points don't need to be super-precisely placed, so don't worry about breaking out the ruler and T-square, but the visualization should reflect the actual data. Do pay attention to it looking nice, an do think about how you can follow our data communication best-practices.

Detail:
 Use R to look at the data. You won't be turning any of this part in but you should take this opportunity to get familiar with R. Look at the data (and probably do some preliminary calculations) and think of a story that you can tell with the data. Let me know if you're having difficulties. Draw, by hand, a visualization that helps get your story across. You can do this on paper or with MS Paint, draw.io, etc. Take a picture/screenshot of your sketch. Same idea as last time - doesn't have to be super exact but should reflect the data."
Python Developer - Create YouTube Videos,"['Scrapy', 'Python', 'Selenium', 'Web Scraping', 'Beautiful Soup']",-,Intermediate,Hourly,30+ hrs/week,"We are looking for a longterm partnership with a developer who is interested in video production to create Python coding tutorials for our YouTube channel. The primary topic of these videos will be web scraping.

We will provide you with an article and example code from which you will create the coding tutorial from. We will also provide any graphics, thumbnails, etc. that need to be used in the video so you will just need to focus on making the coding tutorial. The videos should be around 15 minutes in length.

Project Scope:
Initially, we will ask you to create a short 3-minute video tutorial to get a sense of your abilities (this will be paid). From here we will choose the best applicant to create a full video on how to use Python Pyppeteer for web scraping. If this goes well, then we will give you a contract to create 1 video per week.

Requirements:
- Must speak clear English
- Must be able to code in Python
- Must be able to work independently and convert the provided articles into easy to understand video tutorials.

Application:
In your application for this role, please outline your Python coding experience and give an example of any YouTube video tutorials you have created in the past."
Create Machine Learning Model for Document Extraction,"['AI Development', 'AI Implementation', 'Model Deployment', 'MLOps', 'Python', 'Machine Learning', 'Data Science', 'Artificial Intelligence', 'TensorFlow']",-,Intermediate,Hourly: $10-$30,30+ hrs/week,"AI & Machine Learning Engineer for Model Migration and Deployment

Job Description:
We are seeking an experienced AI & Machine Learning Engineer to assist in migrating our current models from Azure AI Document Intelligence Studio to a self-hosted solution. Our primary goal is to enhance response times and gain more control over our AI models, as our current setup experiences delays of over 10 seconds for responses.

Responsibilities:
Analyze and migrate 3-4 existing document extraction models from Azure AI Document Intelligence Studio to a self-hosted environment.
Set up a robust system for continuous training with new datasets.
Implement a version control system to manage deployments of new model versions, with the capability to rollback to previous versions if regression is detected.
Ensure the solution can be deployed in a Docker container or hosted on a Windows server.
Work closely with our IT team to integrate the migrated models into our existing infrastructure.
Provide documentation and training to our team on managing and updating the models.
Requirements:
Proven experience in AI and machine learning, specifically with model migration and deployment.
Strong background in working with Azure AI services and understanding of their limitations.
Expertise in containerization with Docker and deployment on Windows environments.
Familiarity with version control systems and rollback strategies for machine learning models.
Ability to train machine learning models with new data and deploy updates efficiently.
Excellent problem-solving skills and ability to work independently.
Fluent in English with strong communication skills for effective collaboration with our team.

Project Duration:
Estimated to be 2-3 months, with the possibility of extension based on project needs and performance.
Why You Should Apply:
Opportunity to work on an innovative project aimed at significantly improving AI response times.
Be part of a forward-thinking team aiming to leverage the latest in AI and machine learning.
Potential for long-term collaboration on future projects and model enhancements.

We are eager to bring on board a skilled professional who can help us achieve our goals efficiently and effectively. If you have the expertise and are excited about driving significant improvements in AI model performance, we’d love to hear from you.

"
Data Extraction and report automation,"['Business Process Automation', 'Dashboard', 'Microsoft Excel', 'Data Extraction', 'Automation']","
        $200
      ",Entry level,Fixed-price,-,"Need help creating a script or running a program that will run several reports every week and export report data to excel.  We would like to run some basic data analytics on the data file (calculating weekly KPIs).

There are 7 or 8 reports to be run weekly 
Data will need to be exported and organized
Create analytics in excel or power bi "
Looking for a Python Developer with Writing Experience,"['Python-Requests', 'Scrapy', 'Python', 'API', 'Data Science', 'Web Scraping', 'Selenium']","
        $200
      ",Intermediate,Fixed-price,-,"Looking for a Python developer with writing experience that can write technical Python content about ""web scraping"".

You will be given the list of articles that should be covered. (An example of article: ""How to Send POST Requests using Python Requests Library”)

Responsibilities:
You will have to:
- Write a step-by-step guide that helps readers to achieve a certain task by following your article. (Ex: Sending a POST Request with Python Requests)
- Place relevant code blocks inside the article.
- Make sure the code examples work and make sense.
- Add relevant links from our blog/product pages into the guide as the context requires.
- Provide the finished article in Markdown format.

Requirements:
- Experience in Python and Python libraries that are used for web scraping tasks such as Scrapy, Selenium, Requests etc.
- A portfolio of past projects (Any web scraping projects would be a bonus)
- Writing experience would be a huge bonus. (Provide links to any technical/coding related articles you covered in the past)
- MUST have excellent English spelling and grammar skills and be skilled in writing.

This will be an ongoing project where we would have you cover 1-3 articles every week according to your availability.

Payment:
The budget ranges between $100-$200 per article.

Application:
To be considered for this role, please include links to Python content or Github repos you have written in the past. 

Review & Hiring:
Ideal candidates will be contacted for a paid trial to showcase their skills by writing an article for us on a provided subject."
Predictive Analytics| Visualization| Data Analyst,"['Python', 'SQL', 'Microsoft Power BI', 'Data Analysis', 'Data Visualization', 'Machine Learning', 'Deep Learning']",-,Expert,Hourly: $10-$25,Less than 30 hrs/week,"I am looking for an analyst on a part-time or full-time basis who can work many hours a week depending on availability and skillset (any time zone is fine).  Individuals will use the modern machine learning models and other techniques to answer business questions.

MUST HAVE HIGH-SPEED INTERNET CONNECTION and at least 16GB Of RAM on the computer. Microsoft PowerBI installed

MUST BE WILLING TO VALIDATE WORK, it is not enough to write a formula and hope for the best

Looking for an experienced business analyst
Examples of tasks:
-Create a report from SQL DB (MySQL, SQL Server, Oracle, Snowflake)
-Finding insights and drawing conclusions
- Regression models
- NLP models
- Machine Learning
- Advanced knowledge of Python
-Creating reports or dashboards in PowerBI or PowerPoint
-Asking questions, and figuring out answers to problems by being proactive


Must have:
PowerBI/Python"
AI article writing,"['AI Content Writing', 'SEO Writing', 'Blog Content']",-,Entry level,Hourly,Less than 30 hrs/week,I need you to use AI to generate 6-8 articles' content every month.
Job Title: Data Scientist - Irrigation Audit App (API) Development,"['Python', 'API', 'Data Science', 'Data Analysis']","
        $700
      ",Expert,Fixed-price,-,"verview:
We are seeking a skilled Data Scientist to join our innovative team on the Irrigation Audit App project, a cutting-edge application designed to revolutionize irrigation management in golf courses. This role focuses on developing advanced algorithms for creating heatmaps and designing API endpoints to support data analysis and visualization. The ideal candidate will possess a strong background in data science, experience with geospatial analysis, and proficiency in API development.

Responsibilities:
Develop and implement algorithms for calculating Distribution Uniformity (DU) and generating heatmaps based on irrigation data.
Design and construct API endpoints for efficient data retrieval, manipulation, and storage, facilitating seamless interaction between the app's frontend and backend systems.
Work closely with the development team to integrate heatmap generation and API functionalities into the app.
Analyze and interpret complex datasets to identify trends, patterns, and insights related to golf course irrigation efficiency.
Ensure data accuracy and integrity throughout the analysis process.
Collaborate with the UI/UX team to ensure that data visualization is user-friendly and informative.
Stay abreast of the latest trends and technologies in data science and geospatial analysis to continually enhance the app's capabilities.
Provide technical guidance and support to the development team, ensuring best practices in data science and API design are followed."
AI Platform Developer,"['Artificial Intelligence', 'API', 'Python', 'JavaScript', 'Machine Learning']",-,Expert,Hourly: $5-$50,30+ hrs/week,"We are seeking an experienced AI Platform Developer to lead the development of an innovative AI platform that will revolutionize the way companies perform data analysis. The platform should enable companies to run data analysis, derive insights, and receive recommendations based on the analysis. The ideal candidate should have a deep understanding of AI technologies and experience in developing AI platforms. The developer will be responsible for designing, implementing, and testing the platform, ensuring its performance, scalability, and security. Strong problem-solving skills, excellent programming abilities, and familiarity with data analysis tools are essential for this role."
Gradient Descent with Logistic Regression,"['Linear Regression', 'Python', 'Machine Learning', 'Statistics', 'Data Science', 'Data Analysis']",-,Expert,Hourly: $39-$75,30+ hrs/week,"we revised the policies and had got informed of how this needs to be done. But again serious candidates only please apply only if you have knowledge in whats being asked. looking forward to the discussion, cheers!"
Research Assistant for Empirical Study Design in Software Engineering,"['Quantitative Research', 'Qualitative Research', 'Editing & Proofreading', 'Fact-Checking', 'Markup', 'Academic Writing', 'software engineering', 'Machine Learning']","
        $50
      ",Intermediate,Fixed-price,-,"We are seeking a skilled Research Assistant with a background in software engineering, data analysis, and academic writing to help complete an empirical study assignment. This study is part of a coursework in empirical methods in software engineering, focusing on analyzing datasets that are given as part of the assignment. The chosen candidate will assist in designing the study, executing data collection and analysis, and drafting a 4+1 page academic paper formatted according to IEEE guidelines.

Responsibilities:

Collaborate closely with our team to understand the assignment requirements and objectives.
Assist in designing a research study based on the provided assignment description, focusing on unanswered questions and sentiment analysis within software developer communities on Discord.
Perform data collection and analysis, employing appropriate methodologies and tools (e.g., Stanford CoreNLP, Sentistrength) as described in the provided annotated design.
Draft an academic paper detailing the study's motivation, related work, methodology, results, discussion, and conclusion. The paper should be formatted according to the IEEE template, adhering to the 4+1 page limit.
Ensure the paper includes a thorough analysis of threats to validity, individual contributions, and adheres to the guidelines provided in the assignment description.

An example output file will be provided and clear assignment guidelines as well. 

Requirements:

Proven experience in empirical research in software engineering or a related field.
Proficiency in data analysis tools and methodologies relevant to the assignment (e.g., NLP techniques, sentiment analysis).
Familiarity with academic writing and formatting styles, preferably IEEE.
Excellent communication skills, with the ability to work collaboratively and meet project deadlines.
A strong understanding of software developer communities and platforms like Discord is a plus.

Deliverables:

A detailed plan for the empirical study, including research questions and methodology.
Data analysis results, including code/scripts used and a preliminary set of findings.
A draft of the 4+1 page academic paper ready for review and submission, formatted according to IEEE standards.
Duration:

The project is expected to be completed within a week, with periodic check-ins for progress updates and feedback.

Application Instructions:

Please submit your proposal including:

A brief overview of your background in empirical research and software engineering.
Examples of previous work related to data analysis and academic writing.
Your approach to tackling this assignment and any preliminary thoughts on the study design.
Your availability and estimated time commitment to complete the project."
Object tracking,"['Natural Language Processing', 'Deep Learning', 'Machine Learning', 'Data Science', 'Computer Vision', 'MATLAB', 'Python', 'PyTorch', 'TensorFlow', 'Data Mining', 'Optimization Modeling', 'Scripting', 'Computer Engineering', 'Unity', 'Data Visualization']",-,Intermediate,Hourly,Less than 30 hrs/week,Training deep learning model about object tracking. 
Data Scientist ,"['MLOps', 'Model Optimization', 'Model Tuning', 'ML Automation', 'PyTorch', 'Data Science', 'Machine Learning', 'Python', 'TensorFlow', 'Deep Learning']",-,Expert,Hourly: $32-$70,30+ hrs/week,"A startup focused on optimizing Retrieval Augmented Generative (RAG) models for natural language processing tasks. We are seeking a talented and experienced CTO/Co-founder to join our team and help us build a world-class RAG optimization platform.

Responsibilities:
•	Lead the technical direction and development of our RAG optimization platform
•	Design and implement efficient and scalable machine learning models and systems
•	Collaborate with the founding team to define and execute on the product roadmap
•	Manage and mentor a team of engineers and data scientists
•	Establish and maintain technical partnerships with industry leaders and academic institutions
•	Ensure the security, reliability, and scalability of our platform
•	Participate in fundraising efforts and help shape the company's long-term strategy

Requirements:
•	PhD or MS in Computer Science, Engineering, or a related field
•	5+ years of experience in machine learning, natural language processing, or a related field
•	Strong track record of building and leading high-performing teams
•	Experience with large-scale machine learning systems and cloud computing platforms (e.g., AWS, GCP, Azure)
•	Proficiency in Python, TensorFlow, PyTorch, or similar machine learning frameworks
•	Excellent communication and interpersonal skills
•	Passion for natural language processing, machine learning, and artificial intelligence

Preferred Qualifications:
•	Experience with retrieval-augmented generation (RAG) models
•	Familiarity with open-source NLP libraries and tools (e.g., Hugging Face, SpaCy, NLTK)
•	Experience with containerization and orchestration technologies (e.g., Docker, Kubernetes)
•	Familiarity with data engineering and data warehousing technologies (e.g., Apache Beam, BigQuery, Redshift)
"
AI text categorisation based on predefined parameters,"['GPT API', 'GPT-4 API', 'OpenAI API', 'REST API', 'RESTful API', 'Node.js', 'AI Model Integration', 'Integration Testing', 'API Testing', 'API Integration', 'ChatGPT API Integration', 'Chatbot Integration', 'Website Integration', 'JavaScript', 'Java', 'PHP', 'C#', 'Ruby', 'C++', 'XML', 'Artificial Intelligence', 'Automation', 'Airtable', 'ChatGPT API', 'Chat gpt', 'AI Chatbot', 'Python', 'Machine Learning', 'Natural Language Processing']",-,Intermediate,Hourly: $10-$50,not_sure,"I need the following: 

1. A user submits text of work they have carried out on a form
2. AI checks against a predefined list of 40/50 skills/experience this could relate to
3. Chooses the 5 most suitable or relevant skills
4. Rewrites the work description relevant to the skill/experience
5. Write each response to an airtable database 
6. Writes a summary of the 5 items above

Please quote a price - I plan to show the results and host the form on a softr page showing the airtable results. I can do automation and work with OpenAI API but I don't have the time to test this out. 

Please quote an estimate of the price in your proposal. 

Thanks
Reza"
Data Engineer + AI Expert for Product Development,"['Database Architecture', 'Data Engineering', 'Data Science', 'Data Analysis', 'Machine Learning', 'Artificial Intelligence', 'API']","
        $3,500
      ",Expert,Fixed-price,-,"We are in need of a data architect and AI expert to assist us in validating a product concept. We are seeking input and recommendations on the feasibility and strategies for scaling a database that we are currently constructing through human research.

We are seeking the following support:

- Identify and standardize sources of data (approximately a dozen data points).
- Identify and evaluate scraping tools/APIs for collecting necessary data (including potential costs).
- Define a data scrubbing process to extract key inputs.
- Develop a plan for recurring data collection to maintain data up-to-date.
- Explore the feasibility of incorporating a scoring layer to support a matching/search function.

We envision the project to be tackled in phases: 

Phase I
- Determine if scraping can cull data points cost-efficiently and effectively.
- Identify sources suitable for extracting these data points and, if applicable, provide cost estimates from the data providers.
- Identify and evaluate scraping tools/APIs for collecting necessary data (including potential costs).

Phase II
- Define critical data for decision making, define rules for tagging
- Develop scraping and scrubbing process to extract key inputs
- Architect a feedback loop for powering matching system based on data inputs

This work will build off of pre-established materials, which includes:

- Spreadsheet containing sample data for roughly 12 TV networks  (Note: The spreadsheet is manually maintained, so some data points may be out of date)
- Experience identifying and collecting relevant data from multiple sources for manual updating 
- Examples of data sources 
- Documents defining key terms and data points 
- Demos illustrating the desired end-state 

If interested, please submit a proposal with a cost estimate along with a timeframe for completing the project. We are looking to move forward quickly, and hope to have someone on board within the next few weeks. 
"
Automated Trading Strategy Implementation,"['Python', 'C++', 'C#', 'MetaTrader 4', 'NinjaTrader']",-,Intermediate,Hourly: $20-$45,Less than 30 hrs/week,"We are seeking a skilled programmer to implement an automated trading strategy for our financial investments. The successful candidate will be responsible for developing and implementing algorithms to analyze market data, identify trends, and execute trades. The ideal candidate should have a strong understanding of trading concepts and be proficient in programming languages such as Python, R, or Matlab. Experience with financial data analysis, machine learning, and statistical modeling is also preferred. The successful candidate should have a strong attention to detail, be able to work independently, and have excellent problem-solving skills.

Relevant skills:
- Trading concepts
- Programming languages (Python, R, Matlab)
- Financial data analysis
- Machine learning
- Statistical modeling"
Software Developer - Natural Language Processing,"['Python', 'pandas', 'Unix Shell', 'Data Processing']",-,Intermediate,Hourly: $16-$45,Less than 30 hrs/week,"BankruptcyWatch is seeking a software developer to prepare datasets for machine learning. The job involves:

- Analyzing and transforming datasets for use as features
- Writing tools to label datasets
- Prompt engineering to generate data for use in data synthesis / augmentation

Depending on the skill set of the engineer, it could also include synthesizing data and experimenting with various neural architectures.

Job requirements:

* Git
  * Experience using private repositories at Github with SSH authentication
  * Ability to branch, merge and rebase
* Python
  * Pandas
  * Jupyter notebooks
  * Experience writing class hierarchies
  * Familiarity with type hints
  * Experience writing command-line tools a plus
* ML
  * Some experience with natural language processing
  * Experience with spaCy a plus"
Panoptic Segmentation ,"['Convolutional Neural Network', 'PyTorch', 'Python', 'Computer Vision', 'Vision Transformer', 'point cloud data', 'panoptic segmentation ']",-,Expert,Hourly,Less than 30 hrs/week,"The main goal is to perform panoptic segmentation on point clouds using Vision Transformers. However, there are a few intermediate steps so as to achieve this. 

Kindly reach out if you have prior experience with point clouds,  ViTs, performing panoptic segmentation and fine-tuning. "
Gurobi Solver (Support Vector Machine stuff),"['gurobi', 'Python', 'Machine Learning', 'Linear Programming']",-,Expert,Hourly: $32-$70,30+ hrs/week,"People who have a strong background in Gurobi Solver will be considered, please have a careful look. Only serious candidates will be considered. If you have no background in Operations Research or linear programming or anything of that nature please do not apply!"
Back-end development ,"['Artificial Intelligence', 'Machine Learning', 'Python', 'Natural Language Processing', 'Deep Learning', 'API', 'JavaScript', 'Data Scraping', 'Web Development', 'Amazon Web Services', 'TensorFlow', 'AI Development', 'SQL', 'Django', 'Docker']",-,Intermediate,Hourly,Less than 30 hrs/week,"Early stage startup looking for a back-end developer - Python/Fast APi skills
"
Retrain AI python openCV basketball shot counter model accuracy ,"['Artificial Intelligence', 'Machine Learning', 'Computer Vision', 'Python', 'OpenCV']","
        $120
      ",Intermediate,Fixed-price,-,"Title: Retrain AI  Basketball Shot Counting

Description:

We are in search of a versatile AI model developer to enhance our existing system. The primary goal is to retrain our AI Shot tracker to improve accuracy of made and missed shots. I attached  a test video of our shot tracker to display inaccuracies. 
GitHub repo https://github.com/kjg614/OpenCV_Basketball_Shot_Counter


"
Looking for a python teacher,['Python'],-,Entry level,Hourly: $5-$15,Less than 30 hrs/week,"I am a windows user. My coding experience comes from coding with AutoHotKey. 

I would like to learn python. Looking to get the basic syntax explained and basic language skills."
Create a statistical spreadsheet template for financial markets,"['Statistics', 'Data Analysis', 'Financial Analysis', 'Finance', 'Microsoft Excel']",-,Expert,Hourly,Less than 30 hrs/week,"Looking for an expert in advanced statistical modelling and microsoft excel. 

I need a template that analyses price data from financial markets to understand a statistical probability of a rotation size based on a normal distribution, derived from historical data yet weighted by recent data. 

A deep understanding of financial markets is needed. "
